Name,Purpose,Quantity,Total Cost (USD),Link,Distributor
"1k Resistor 0603","LED current limiting (R5,R6,R7)",3,0.03,"https://www.lcsc.com/product-detail/C21190.html","LCSC"
"10k Resistor 0603","Pulldown / pullup (R1,R10)",2,0.03,"https://www.lcsc.com/product-detail/C25804.html","LCSC"
"5.1k Resistor 0603","USB CC pulldown (R8,R9)",2,0.03,"https://www.lcsc.com/product-detail/C23186.html","LCSC"
"2k Resistor 0603","BQ24040 charge current set (R4)",1,0.03,"https://www.lcsc.com/product-detail/C22975.html","LCSC"
"100k Resistor 0603","LDO feedback divider (R3)",1,0.03,"https://www.lcsc.com/product-detail/C25803.html","LCSC"
"560k Resistor 0603","LDO feedback divider (R2)",1,0.03,"https://www.lcsc.com/product-detail/C23203.html","LCSC"
"1uF Capacitor 0603","Decoupling / bypass (C1-C5)",5,0.15,"https://www.lcsc.com/product-detail/C15849.html","LCSC"
"100nF Capacitor 0603","Decoupling (C6,C8,C9)",3,0.06,"https://www.lcsc.com/product-detail/C14663.html","LCSC"
"10uF Capacitor 0603","LDO output capacitor (C7)",1,0.16,"https://www.lcsc.com/product-detail/C19702.html","LCSC"
"Red LED 0603 (150060RS75000)","Charge status indicator (D1)",1,1.34,"https://www.lcsc.com/product-detail/C3030991.html","LCSC"
"Green LED 0603 (150060GS75000)","Power good indicator (D2)",1,1.40,"https://www.lcsc.com/product-detail/C5252984.html","LCSC"
"Blue LED 0603 (150060BS75000)","General indicator (D3)",1,1.12,"https://www.lcsc.com/product-detail/C5197644.html","LCSC"
"ESP32-S3-WROOM-1-N16R8","Main MCU - WiFi/BLE SoC (U4)",1,10.38,"https://www.lcsc.com/product-detail/C2913202.html","LCSC"
"BQ24040DSQR","Li-ion battery charger IC (U2)",1,2.05,"https://www.lcsc.com/product-detail/C81080.html","LCSC"
"USBLC6-2SC6","USB ESD protection (U1)",1,0.77,"https://www.lcsc.com/product-detail/C7519.html","LCSC"
"TLV75801PDBVR","3.3V LDO regulator (U3)",1,0.56,"https://www.lcsc.com/product-detail/C2877852.html","LCSC"
"2N7002","Buzzer MOSFET driver (Q1)",1,0.13,"https://www.lcsc.com/product-detail/C8545.html","LCSC"
"PKLCS1212E4001-R1","Passive piezo buzzer (LS1)",1,1.54,"https://www.lcsc.com/product-detail/C113159.html","LCSC"
"KMR211GLFS","Tactile switches - navigation + boot/reset",8,8.32,"https://www.lcsc.com/product-detail/C221675.html","LCSC"
"PCM12SMTR","Power slide switch (SW1)",1,2.36,"https://www.lcsc.com/product-detail/C221841.html","LCSC"
"USB4105-GF-A","USB-C receptacle 16pin (J1)",1,0.20,"https://www.lcsc.com/product-detail/C2765186.html","LCSC"
"B2B-PH-K-S(LF)(SN)","JST PH 2-pin battery connector (J5)",1,0.10,"https://www.lcsc.com/product-detail/C131337.html","LCSC"
"KH-2.54FH-1X8P-H8.5","1x8 female header for screen (J4)",1,0.21,"https://www.lcsc.com/product-detail/C2905417.html","LCSC"
"KH-2.54PH180-1X5P-L11.5","1x5 male header for RTC (J3)",1,0.08,"https://www.lcsc.com/product-detail/C2932699.html","LCSC"